"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DT00","DT32","DX32","DX70","DX90","EMNT","EMXP","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"AR000087860","COMODORO RIVADAVIA, AR","1956-02",,"47.7",,,"0","0","0","22","1","7.0",,"32.5",,"43.7",,"18.5","24.8","12.2"
"AR000087860","COMODORO RIVADAVIA, AR","1956-03",,"9.9",,,"0","0","0","18","0","6.0",,"29.5",,"75.2",,"16.2","21.6","10.7"
"AR000087860","COMODORO RIVADAVIA, AR","1956-04",,"0.0",,,"0","0","0","1","0","1.2",,"21.5",,"231.5",,"10.6","15.7","5.6"
"AR000087860","COMODORO RIVADAVIA, AR","1956-05",,"0.0",,,"0","1","0","0","0","-1.6",,"18.5",,"300.8",,"8.6","13.1","4.2"
"AR000087860","COMODORO RIVADAVIA, AR","1956-06",,"0.0",,,"0","4","0","0","0","-2.6",,"18.6",,"274.6",,"8.9","13.4","4.3"
"AR000087860","COMODORO RIVADAVIA, AR","1956-07","0.0","0.0",,,"0","4","0","0","0","-1.7",,"20.3",,"299.4",,"8.7","12.8","4.6"
"AR000087860","COMODORO RIVADAVIA, AR","1956-08","0.0","0.0",,,"0","5","0","1","0","-1.6",,"21.5",,"276.3",,"9.4","14.1","4.8"
"AR000087860","COMODORO RIVADAVIA, AR","1956-09","0.1","0.1",,,"0","1","0","2","0","-0.7",,"25.9",,"247.9",,"9.8","15.3","4.3"
"AR000087860","COMODORO RIVADAVIA, AR","1956-10","10.4","10.3",,,"0","0","0","12","0","4.0",,"28.6",,"122.8",,"14.7","20.0","9.4"
"AR000087860","COMODORO RIVADAVIA, AR","1956-11","60.7","50.3",,,"0","0","0","26","3","5.3",,"33.5",,"29.3",,"19.0","25.8","12.3"
"AR000087860","COMODORO RIVADAVIA, AR","1956-12","114.6","53.9",,,"0","0","0","25","2","5.1",,"33.7",,"37.7",,"18.9","24.9","12.8"
"AR000087860","COMODORO RIVADAVIA, AR","1957-01","185.4","70.8",,,"0","0","0","29","3","6.9",,"34.9","28.9","28.9",,"19.7","25.9","13.5"
"AR000087860","COMODORO RIVADAVIA, AR","1957-02","240.3","54.9",,,"0","0","0","19","4","7.4",,"35.3","72.7","43.8",,"18.7","24.7","12.7"
"AR000087860","COMODORO RIVADAVIA, AR","1957-03","282.1","41.8",,,"0","0","0","27","0","6.9",,"30.8","100.2","27.5",,"18.8","24.9","12.6"
"AR000087860","COMODORO RIVADAVIA, AR","1957-04","286.6","4.5",,,"0","0","0","4","0","2.2",,"26.9","280.9","180.7",,"12.5","17.0","8.0"
"AR000087860","COMODORO RIVADAVIA, AR","1957-05","286.8","0.2",,,"0","1","0","1","0","-0.4",,"24.0","550.6","269.7",,"9.6","13.2","6.1"
"AR000087860","COMODORO RIVADAVIA, AR","1957-06","286.8","0.0",,,"0","3","0","0","0","-2.4",,"19.3","874.2","323.6",,"7.1","11.0","3.3"
"AR000087860","COMODORO RIVADAVIA, AR","1957-07","0.0","0.0",,,"0","7","0","0","0","-2.0",,"16.2","1254.2","380.0",,"6.1","9.5","2.6"
"AR000087860","COMODORO RIVADAVIA, AR","1957-08","0.0","0.0",,,"0","3","0","0","0","-3.0",,"15.4","1609.4","355.2",,"6.9","10.4","3.4"
"AR000087860","COMODORO RIVADAVIA, AR","1957-09","0.0","0.0",,,"0","3","0","2","0","-2.2",,"23.6","1857.2","247.8",,"10.1","15.4","4.7"
"AR000087860","COMODORO RIVADAVIA, AR","1957-10","0.0","0.0",,,"0","0","0","6","0","2.1",,"24.0","2054.8","197.6",,"12.0","17.4","6.5"
"AR000087860","COMODORO RIVADAVIA, AR","1957-11","14.4","14.4",,,"0","0","0","15","0","6.3",,"28.1","2127.5","72.7",,"16.4","21.9","10.9"
"AR000087860","COMODORO RIVADAVIA, AR","1957-12","63.5","49.1",,,"0","0","0","23","1","4.9",,"33.2","2172.4","44.9",,"18.5","24.6","12.3"
"AR000087860","COMODORO RIVADAVIA, AR","1958-01","135.6","72.1",,,"0","0","0","29","1","8.7",,"34.5","7.8","7.8",,"20.6","26.7","14.5"
"AR000087860","COMODORO RIVADAVIA, AR","1958-02","149.0","13.4",,,"0","0","0","16","0","7.8",,"30.3","75.3","67.5",,"16.4","21.9","10.9"
"AR000087860","COMODORO RIVADAVIA, AR","1958-03","178.8","29.8",,,"0","0","0","16","1","4.5",,"33.0","144.9","69.6",,"17.1","22.6","11.5"
"AR000087860","COMODORO RIVADAVIA, AR","1958-04","182.8","4.0",,,"0","0","0","6","0","2.8",,"25.4","292.6","147.7",,"13.6","18.4","8.7"
"AR000087860","COMODORO RIVADAVIA, AR","1958-05","183.5","0.7",,,"0","0","0","4","0","0.3",,"22.9","593.4","300.8",,"8.6","12.7","4.6"
"AR000087860","COMODORO RIVADAVIA, AR","1958-06",,,,,"0","8",,,,"-3.9",,,,,,,,"3.1"
"AR000087860","COMODORO RIVADAVIA, AR","1958-07",,,,,"0","4",,,,"-2.8",,,,,,,,"6.1"
"AR000087860","COMODORO RIVADAVIA, AR","1958-08",,,,,"0","2",,,,"-1.1",,,,,,,,"4.4"
"AR000087860","COMODORO RIVADAVIA, AR","1958-09",,,,,"0","1",,,,"-5.0",,,,,,,,"4.7"
"AR000087860","COMODORO RIVADAVIA, AR","1958-10",,,,,"0","1",,,,"-1.1",,,,,,,,"9.1"
"AR000087860","COMODORO RIVADAVIA, AR","1958-11",,"10.6",,,"0","0","0","16","0","3.1",,"31.5",,"97.2",,"15.1","20.4","9.8"
"AR000087860","COMODORO RIVADAVIA, AR","1958-12",,"27.5",,,"0","0","0","14","0","2.3",,"31.6",,"76.7",,"16.8","22.4","11.2"
"AR000087860","COMODORO RIVADAVIA, AR","1959-01",,"55.0",,,"0","0","0","27","2","8.3",,"33.0","21.4","21.4",,"19.4","25.4","13.4"
"AR000087860","COMODORO RIVADAVIA, AR","1959-02",,"77.1",,,"0","0","0","22","3","5.9",,"34.1","52.1","30.7",,"20.0","25.9","14.0"
"AR000087860","COMODORO RIVADAVIA, AR","1959-03",,"23.7",,,"0","0","0","15","0","6.2",,"29.7","145.0","92.9",,"16.1","21.6","10.6"
"AR000087860","COMODORO RIVADAVIA, AR","1959-04",,"0.0",,,"0","4","0","0","0","-0.7",,"20.0","425.6","280.6",,"9.0","13.4","4.6"
"AR000087860","COMODORO RIVADAVIA, AR","1959-05",,"0.0",,,"0","0","0","1","0","0.4",,"21.2","688.3","262.7",,"9.9","13.9","5.9"
"AR000087860","COMODORO RIVADAVIA, AR","1959-06",,"0.0",,,"0","3","0","0","0","-2.2",,"17.0","1004.4","316.1",,"7.8","11.9","3.7"
"AR000087860","COMODORO RIVADAVIA, AR","1959-07","0.0","0.0",,,"0","12","0","0","0","-5.2",,"15.2","1402.4","398.0",,"5.5","8.8","2.2"
"AR000087860","COMODORO RIVADAVIA, AR","1959-08","0.0","0.0",,,"0","2","0","0","0","-1.2",,"19.4","1726.2","323.8",,"7.9","12.4","3.4"
"AR000087860","COMODORO RIVADAVIA, AR","1959-09","0.0","0.0",,,"0","1","0","2","0","-1.2",,"27.0","1964.9","238.7",,"10.0","15.2","4.9"
"AR000087860","COMODORO RIVADAVIA, AR","1959-10","0.0","0.0",,,"0","1","0","9","0","-0.4",,"23.2","2163.2","198.3",,"11.9","17.0","6.9"
"AR000087860","COMODORO RIVADAVIA, AR","1959-11","12.4","12.4",,,"0","0","0","18","0","4.5",,"27.8","2244.4","81.2",,"16.0","21.7","10.4"
"AR000087860","COMODORO RIVADAVIA, AR","1959-12","55.2","42.8",,,"0","0","0","22","2","8.9",,"35.4","2287.5","43.1",,"18.3","24.4","12.2"
"AR000087860","COMODORO RIVADAVIA, AR","1960-01","166.4","111.2",,,"0","0","0","25","7","7.2",,"35.0","27.9","27.9",,"21.1","27.0","15.2"
"AR000087860","COMODORO RIVADAVIA, AR","1960-02","241.2","74.8",,,"0","0","0","25","4","9.1",,"36.5","47.0","19.1",,"20.3","26.4","14.1"
"AR000087860","COMODORO RIVADAVIA, AR","1960-03","260.8","19.6",,,"0","0","0","17","0","7.4",,"32.1","106.8","59.8",,"17.0","22.2","11.9"
"AR000087860","COMODORO RIVADAVIA, AR","1960-04","265.8","5.0",,,"0","0","0","6","0","2.4",,"25.6","245.5","138.7",,"13.9","19.0","8.8"
"AR000087860","COMODORO RIVADAVIA, AR","1960-05","269.9","4.1",,,"0","1","0","4","0","-0.7",,"25.7","470.7","225.2",,"11.2","15.4","7.0"
"AR000087860","COMODORO RIVADAVIA, AR","1960-06","269.9","0.0",,,"0","13","0","0","0","-5.2",,"18.3","864.6","393.9",,"5.2","8.6","1.8"
"AR000087860","COMODORO RIVADAVIA, AR","1960-07","0.0","0.0",,,"0","8","0","0","0","-5.6",,"17.3","1223.0","358.4",,"6.8","10.5","3.0"
"AR000087860","COMODORO RIVADAVIA, AR","1960-08","0.0","0.0",,,"0","2","0","0","0","-2.8",,"19.1","1525.7","302.7",,"8.6","13.2","3.9"
"AR000087860","COMODORO RIVADAVIA, AR","1960-09","0.0","0.0",,,"0","4","0","1","0","-0.4",,"21.6","1777.5","251.8",,"9.9","15.1","4.8"
"AR000087860","COMODORO RIVADAVIA, AR","1960-10","3.6","3.6",,,"0","0","0","9","0","0.8",,"25.3","1936.8","159.3",,"13.3","18.6","8.0"
"AR000087860","COMODORO RIVADAVIA, AR","1960-11","24.7","21.1",,,"0","0","0","20","0","6.2",,"29.0","1989.0","52.2",,"17.3","22.7","11.9"
"AR000087860","COMODORO RIVADAVIA, AR","1960-12","60.0","35.3",,,"0","0","0","23","0","5.2",,"32.0","2053.0","64.0",,"17.4","23.3","11.6"
"AR000087860","COMODORO RIVADAVIA, AR","1961-01","105.8","45.8",,,"0","0","0","28","2","7.8",,"38.0","28.9","28.9",,"18.9","25.1","12.7"
"AR000087860","COMODORO RIVADAVIA, AR","1961-02","175.4","69.6",,,"0","0","0","21","2","6.3",,"33.8","61.2","32.3",,"19.7","25.1","14.3"
"AR000087860","COMODORO RIVADAVIA, AR","1961-03","188.6","13.2",,,"0","0","0","17","1","4.1",,"33.0","126.7","65.5",,"16.6","22.2","11.1"
"AR000087860","COMODORO RIVADAVIA, AR","1961-04","188.6","0.0",,,"0","0","0","0","0","1.7",,"21.0","296.7","170.0",,"12.2","17.1","7.3"
"AR000087860","COMODORO RIVADAVIA, AR","1961-05","188.7","0.1",,,"0","2","0","4","0","-2.2",,"22.4","493.6","196.9",,"11.1","15.6","6.6"
"AR000087860","COMODORO RIVADAVIA, AR","1961-06","188.7","0.0",,,"0","11","0","0","0","-4.8",,"19.3","838.7","345.1",,"6.1","9.9","2.3"
"AR000087860","COMODORO RIVADAVIA, AR","1961-07","0.0","0.0",,,"0","9","0","0","0","-4.2",,"12.6","1267.6","428.9",,"4.5","7.7","1.3"
"AR000087860","COMODORO RIVADAVIA, AR","1961-08","0.0","0.0",,,"0","7","0","1","0","-3.6",,"22.9","1603.4","335.8",,"7.5","11.6","3.4"
"AR000087860","COMODORO RIVADAVIA, AR","1961-09","0.0","0.0",,,"0","1","0","0","0","-0.8",,"19.9","1888.1","284.7",,"8.8","13.3","4.4"
"AR000087860","COMODORO RIVADAVIA, AR","1961-10","7.0","7.0",,,"0","1","0","11","0","-0.6",,"27.4","2046.1","158.0",,"13.5","19.3","7.6"
"AR000087860","COMODORO RIVADAVIA, AR","1961-11","14.5","7.5",,,"0","0","0","22","0","3.9",,"28.9","2114.0","67.9",,"16.3","22.7","10.0"
"AR000087860","COMODORO RIVADAVIA, AR","1961-12","42.2","27.7",,,"0","0","0","22","0","6.3",,"30.9","2162.8","48.8",,"17.6","24.0","11.3"
"AR000087860","COMODORO RIVADAVIA, AR","1962-01","95.3","53.1",,,"0","0","0","24","2","8.9",,"37.2","36.9","36.9",,"18.9","24.9","12.8"
"AR000087860","COMODORO RIVADAVIA, AR","1962-02","149.3","54.0",,,"0","0","0","22","5","7.6",,"36.4","73.2","36.3",,"19.0","24.8","13.1"
"AR000087860","COMODORO RIVADAVIA, AR","1962-03","187.8","38.5",,,"0","0","0","26","0","6.0",,"30.4","109.6","36.4",,"18.4","23.9","12.9"
"AR000087860","COMODORO RIVADAVIA, AR","1962-04","188.9","1.1",,,"0","0","0","7","0","1.8",,"25.4","265.1","155.5",,"13.2","18.3","8.1"
"AR000087860","COMODORO RIVADAVIA, AR","1962-05","188.9","0.0",,,"0","1","0","3","0","-0.1",,"22.4","488.4","223.3",,"11.1","14.7","7.6"
"AR000087860","COMODORO RIVADAVIA, AR","1962-06","188.9","0.0",,,"0","2","0","0","0","-2.0",,"20.2","794.2","305.8",,"8.1","12.2","4.1"
"AR000087860","COMODORO RIVADAVIA, AR","1962-07","0.0","0.0",,,"0","5","0","0","0","-2.0",,"16.8","1125.8","331.6",,"7.6","12.1","3.2"
"AR000087860","COMODORO RIVADAVIA, AR","1962-08","0.0","0.0",,,"0","6","0","0","0","-2.4",,"17.9","1451.1","325.3",,"7.8","12.0","3.7"
"AR000087860","COMODORO RIVADAVIA, AR","1962-09","0.0","0.0",,,"0","1","0","0","0","0.0",,"20.6","1678.5","227.4",,"10.8","15.9","5.6"
"AR000087860","COMODORO RIVADAVIA, AR","1962-10","9.1","9.1",,,"0","1","0","14","0","0.0",,"28.8","1817.6","139.1",,"14.1","20.4","7.9"
"AR000087860","COMODORO RIVADAVIA, AR","1962-11","28.5","19.4",,,"0","0","0","15","1","5.4",,"32.5","1874.7","57.1",,"16.9","22.5","11.3"
"AR000087860","COMODORO RIVADAVIA, AR","1962-12","93.4","64.9",,,"0","0","0","25","1","6.6",,"34.1","1907.5","32.8",,"19.4","25.2","13.5"
"AR000087860","COMODORO RIVADAVIA, AR","1963-01","133.7","40.3",,,"0","0","0","26","1","7.0",,"35.3","39.4","39.4",,"18.4","24.9","11.8"
"AR000087860","COMODORO RIVADAVIA, AR","1963-02","204.9","71.2",,,"0","0","0","25","2","9.5",,"37.7","57.4","18.0",,"20.2","26.3","14.1"
"AR000087860","COMODORO RIVADAVIA, AR","1963-03","216.7","11.8",,,"0","0","0","16","0","4.3",,"27.4","135.4","78.0",,"16.2","21.7","10.7"
"AR000087860","COMODORO RIVADAVIA, AR","1963-04","216.7","0.0",,,"0","0","0","4","0","3.2",,"24.7","290.5","155.1",,"13.2","17.6","8.7"
"AR000087860","COMODORO RIVADAVIA, AR","1963-05","216.7","0.0",,,"0","0","0","0","0","1.0",,"19.8","529.2","238.7",,"10.4","14.2","6.6"
"AR000087860","COMODORO RIVADAVIA, AR","1963-06","216.7","0.0",,,"0","3","0","0","0","-2.1",,"19.9","852.5","323.3",,"7.6","11.5","3.6"
"AR000087860","COMODORO RIVADAVIA, AR","1963-07","0.0","0.0",,,"0","3","0","0","0","-2.5",,"17.2","1213.6","361.1",,"6.7","10.6","2.8"
"AR000087860","COMODORO RIVADAVIA, AR","1963-08","0.0","0.0",,,"0","5","0","0","0","-1.0",,"16.3","1576.6","363.0",,"6.6","10.2","3.1"
"AR000087860","COMODORO RIVADAVIA, AR","1963-09","0.0","0.0",,,"0","0","0","0","0","1.1",,"16.7","1889.2","312.6",,"7.6","11.5","3.6"
"AR000087860","COMODORO RIVADAVIA, AR","1963-10","0.0","0.0",,,"0","0","0","4","0","1.7",,"23.7","2093.9","204.7",,"11.7","16.3","7.1"
"AR000087860","COMODORO RIVADAVIA, AR","1963-11","0.3","0.3",,,"0","0","0","11","0","3.4",,"26.7","2228.2","134.3",,"13.9","19.2","8.5"
"AR000087860","COMODORO RIVADAVIA, AR","1963-12","51.6","51.3",,,"0","0","0","25","1","7.0",,"35.0","2268.2","40.0",,"18.7","25.3","12.1"
"AR000087860","COMODORO RIVADAVIA, AR","1964-01","142.2","90.6",,,"0","0","0","31","4","9.5",,"39.4","5.6","5.6",,"21.1","27.8","14.4"
"AR000087860","COMODORO RIVADAVIA, AR","1964-02","166.4","24.2",,,"0","0","0","22","1","6.9",,"34.2","46.3","40.7",,"17.8","23.5","12.0"
"AR000087860","COMODORO RIVADAVIA, AR","1964-03","176.2","9.8",,,"0","0","0","15","0","4.0",,"29.1","136.1","89.8",,"15.8","21.2","10.4"
"AR000087860","COMODORO RIVADAVIA, AR","1964-04","176.2","0.0",,,"0","0","0","8","0","2.9",,"26.2","292.3","156.2",,"13.1","18.5","7.8"
"AR000087860","COMODORO RIVADAVIA, AR","1964-05","177.6","1.4",,,"0","1","0","2","0","-3.0",,"23.8","555.3","263.0",,"9.5","14.1","4.9"
"AR000087860","COMODORO RIVADAVIA, AR","1964-06","177.6","0.0",,,"0","15","0","0","0","-8.5",,"14.6","980.1","424.8",,"4.2","8.2","0.1"
"AR000087860","COMODORO RIVADAVIA, AR","1964-07","0.0","0.0",,,"0","2","0","0","0","-1.1",,"17.0","1290.0","309.9",,"8.3","12.1","4.6"
"AR000087860","COMODORO RIVADAVIA, AR","1964-08","0.0","0.0",,,"0","6","0","0","0","-2.2",,"20.6","1608.1","318.1",,"8.1","12.5","3.6"
"AR000087860","COMODORO RIVADAVIA, AR","1964-09","0.0","0.0",,,"0","5","0","3","0","-5.7",,"23.9","1872.9","264.8",,"9.5","14.5","4.5"
"AR000087860","COMODORO RIVADAVIA, AR","1964-10","6.3","6.3",,,"0","0","0","10","0","1.5",,"32.0","2026.7","153.8",,"13.6","19.4","7.8"
"AR000087860","COMODORO RIVADAVIA, AR","1964-11","20.2","13.9",,,"0","0","0","14","0","4.4",,"32.1","2137.3","110.6",,"15.1","21.0","9.2"
"AR000087860","COMODORO RIVADAVIA, AR","1964-12","42.1","21.9",,,"0","0","0","21","0","4.4",,"31.1","2200.2","62.9",,"17.0","22.7","11.4"
"AR000087860","COMODORO RIVADAVIA, AR","1965-01","127.8","85.7",,,"0","0","0","24","3","6.5",,"37.2","29.7","29.7",,"20.1","26.0","14.2"
"AR000087860","COMODORO RIVADAVIA, AR","1965-02","167.8","40.0",,,"0","0","0","22","0","7.7",,"30.7","63.5","33.8",,"18.6","24.4","12.7"
"AR000087860","COMODORO RIVADAVIA, AR","1965-03","200.0","32.2",,,"0","0","0","20","1","5.3",,"34.7","116.1","52.6",,"17.7","23.6","11.7"
"AR000087860","COMODORO RIVADAVIA, AR","1965-04","202.8","2.8",,,"0","1","0","6","0","-0.6",,"25.5","299.3","183.2",,"12.3","16.7","7.9"
"AR000087860","COMODORO RIVADAVIA, AR","1965-05","202.8","0.0",,,"0","3","0","0","0","-0.7",,"20.0","606.8","307.5",,"8.4","12.1","4.8"
"AR000087860","COMODORO RIVADAVIA, AR","1965-06","202.8","0.0",,,"0","4","0","0","0","-1.7",,"19.1","892.1","285.3",,"8.8","12.8","4.9"
"AR000087860","COMODORO RIVADAVIA, AR","1965-07","0.0","0.0",,,"0","15","0","0","0","-4.5",,"17.6","1317.6","425.5",,"4.6","7.8","1.4"
"AR000087860","COMODORO RIVADAVIA, AR","1965-08","0.0","0.0",,,"0","2","0","0","0","-0.1",,"19.1","1603.0","285.4",,"9.1","13.4","4.8"
"AR000087860","COMODORO RIVADAVIA, AR","1965-09","0.0","0.0",,,"0","0","0","0","0","0.6",,"21.0","1841.4","238.4",,"10.4","15.7","5.1"
"AR000087860","COMODORO RIVADAVIA, AR","1965-10","1.8","1.8",,,"0","0","0","10","0","1.3",,"30.5","2009.4","168.0",,"13.0","18.8","7.1"
"AR000087860","COMODORO RIVADAVIA, AR","1965-11","18.3","16.5",,,"0","0","0","21","0","2.9",,"29.0","2082.4","73.0",,"16.4","22.3","10.6"
"AR000087860","COMODORO RIVADAVIA, AR","1965-12","32.7","14.4",,,"0","0","0","13","0","4.5",,"27.8","2198.3","115.9",,"15.0","20.4","9.6"
"AR000087860","COMODORO RIVADAVIA, AR","1966-01","78.0","45.3",,,"0","0","0","28","0","7.6",,"31.1","21.4","21.4",,"19.1","25.3","12.9"
"AR000087860","COMODORO RIVADAVIA, AR","1966-02","88.5","10.5",,,"0","0","0","18","0","5.5",,"30.3","102.6","81.2",,"15.8","22.0","9.6"
"AR000087860","COMODORO RIVADAVIA, AR","1966-03","115.0","26.5",,,"0","0","0","19","0","4.8",,"29.6","163.9","61.3",,"17.2","23.0","11.5"
"AR000087860","COMODORO RIVADAVIA, AR","1966-04","120.7","5.7",,,"0","0","0","11","0","4.1",,"28.4","291.6","127.7",,"14.3","19.4","9.1"
