"STATION","NAME","DATE","CDSD","CLDD","DT00","DT32","DX32","DX70","DX90","EMNT","EMXT","FZF0","FZF1","FZF2","FZF3","FZF5","FZF6","FZF7","HDSD","HTDD","TAVG","TMAX","TMIN"
"AR000087860","COMODORO RIVADAVIA, AR","1957","286.8","286.8","         0","        17","         0","       126","         8","-3.0","35.3","-0.4","-2.4",,,"-1.6","-2.2",,"2172.4","2172.4","13.0","18.0","8.1"
"AR000087860","COMODORO RIVADAVIA, AR","1958",,,"         0","        16",,,,"-5.0",,"-0.2","-3.9",,,"-1.1","-5.0","-5.0",,,,,"8.2"
"AR000087860","COMODORO RIVADAVIA, AR","1959",,,"         0","        23","         0","       116","         7","-5.2","35.4","-0.1","-2.2","-5.2",,"-0.4",,,"2287.5","2287.5","12.7","17.6","7.7"
"AR000087860","COMODORO RIVADAVIA, AR","1960","269.9","269.9","         0","        28","         0","       130","        11","-5.6","36.5","-0.7","-3.3","-4.7",,"-0.2","-2.8",,"2053.0","2053.0","13.5","18.5","8.5"
"AR000087860","COMODORO RIVADAVIA, AR","1961","188.7","188.7","         0","        31","         0","       126","         5","-4.8","38.0","-2.2","-2.2","-4.8",,"-0.6","-3.6",,"2162.8","2162.8","12.7","17.8","7.7"
"AR000087860","COMODORO RIVADAVIA, AR","1962","188.9","188.9","         0","        16","         0","       136","         9","-2.4","37.2","-0.1",,,,"0.0","-2.4",,"1907.5","1907.5","13.8","18.9","8.6"
"AR000087860","COMODORO RIVADAVIA, AR","1963","216.7","216.7","         0","        11","         0","       111","         4","-2.5","37.7","-0.4","-2.5",,,"-0.3",,,"2268.2","2268.2","12.6","17.4","7.7"
"AR000087860","COMODORO RIVADAVIA, AR","1964","177.6","177.6","         0","        29","         0","       126","         5","-8.5","39.4","-3.0","-3.0","-4.5","-8.5","-2.0","-5.7","-5.7","2200.2","2200.2","12.8","17.9","7.6"
"AR000087860","COMODORO RIVADAVIA, AR","1965","202.8","202.8","         0","        25","         0","       116","         4","-4.5","37.2","-0.6","-2.4","-4.5",,"0.0",,,"2198.3","2198.3","12.9","17.8","7.9"
"AR000087860","COMODORO RIVADAVIA, AR","1966","120.7","120.7","         0","        23","         0","       121","         3","-6.5","35.0","-1.0","-2.6","-6.5",,"-0.5",,,"2185.7","2185.7","12.7","17.8","7.6"
"AR000087860","COMODORO RIVADAVIA, AR","1968",,,"         0","         8","         0","       138","         6","-2.3","38.5","-2.0",,,,"-2.3","-2.3",,"1862.1","1862.1","13.8","19.1","8.4"
"AR000087860","COMODORO RIVADAVIA, AR","1969","206.0","206.0","         0","        18","         0","       136","         8","-4.9","34.7","-0.8","-2.4","-4.8",,"-1.0",,,"2031.9","2031.9","13.4","18.6","8.1"
"AR000087860","COMODORO RIVADAVIA, AR","1970","197.4","197.4","         0","        11","         0","       125","         7","-4.7","35.7","-1.5","-4.7","-4.7",,"-1.1","-2.6",,"2015.3","2015.3","13.4","18.7","8.0"
"AR000087860","COMODORO RIVADAVIA, AR","1971","119.4","119.4","         0","        29","         0","       129","         5","-2.9","34.8","-1.5","-2.4",,,"0.0",,,"2169.1","2169.1","12.8","18.0","7.5"
"AR000087860","COMODORO RIVADAVIA, AR","1972","170.6","170.6","         0","        43","         0","       141","        10","-5.0","37.6","-1.2","-2.4","-4.5",,"-1.8","-4.8","-4.8","2344.0","2344.0","12.5","18.0","7.0"
"AR000087860","COMODORO RIVADAVIA, AR","1973","221.4","221.4","         0","        22","         0","       132","         7","-6.2","37.6","-0.6","-2.6","-4.6",,"-1.0",,,"2112.2","2112.2","13.1","18.6","7.7"
"AR000087860","COMODORO RIVADAVIA, AR","1974","174.1","174.1","         0","        26","         0","       133","         6","-5.3","35.0","0.0","-2.4","-5.3",,"-0.8","-2.9",,"2130.8","2130.8","13.0","18.5","7.5"
"AR000087860","COMODORO RIVADAVIA, AR","1975","191.0","191.0","         0","        24","         0","       137","         4","-5.0","34.4","-0.3","-5.0","-5.0",,"-0.1","-2.5",,"2030.1","2030.1","13.3","18.8","7.8"
